State,violent crime per 100k inhabitants
ALABAMA,532.3
ALASKA,804.2
ARIZONA,470.1
ARKANSAS,550.9
CALIFORNIA,445.3
COLORADO,342.6
CONNECTICUT,227.1
DELAWARE,508.8
FLORIDA,430.3
GEORGIA5,397.6
HAWAII,309.2
IDAHO,230.3
ILLINOIS,436.3
INDIANA6,404.7
IOWA,290.6
KANSAS,380.4
KENTUCKY,232.3
LOUISIANA,566.1
MAINE,123.8
MARYLAND,472.0
MASSACHUSETTS,376.9
MICHIGAN,459.0
MINNESOTA,242.6
MISSISSIPPI6,280.5
MISSOURI,519.4
MONTANA,368.3
NEBRASKA6,291.0
NEVADA,678.1
NEW HAMPSHIRE,197.6
NEW JERSEY,245.0
NEW MEXICO6,702.5
NEW YORK6,376.2
NORTH CAROLINA6,372.2
NORTH DAKOTA,251.1
OHIO6,300.3
OKLAHOMA6,449.8
OREGON6,264.6
PENNSYLVANIA,316.4
RHODE ISLAND6,238.9
SOUTH CAROLINA,501.8
SOUTH DAKOTA6,418.4
TENNESSEE,632.9
TEXAS,434.4
UTAH,242.8
VERMONT,158.3
VIRGINIA,217.6
WASHINGTON6,302.2
WEST VIRGINIA,358.1
WISCONSIN6,305.9
WYOMING,244.2
