DOC_CTRL_NUM,REPORTING_YEAR,CHEM_NAME,CITY_NAME,STATE_ABBR,TOTAL_RELEASE
"1301200995619","2001","Lead","ELDON","MO",""
"1309207804307","2009","Lead","BLOOMSDALE","MO","0"
"1308206372447","2008","Lead","SEDALIA","MO",""
"1314212304947","2014","Lead","KANSAS CITY","MO",""
"1305203614173","2005","Lead","SEDALIA","MO",".68"
"1317215809791","2017","Lead","BELTON","MO",""
"1311209121262","2011","Lead","EXCELSIOR SPRINGS","MO",""
"1313211318288","2013","Lead","AVA","MO",""
"1302203016441","2002","Lead","WASHINGTON","MO","0"
"1388025629128","1988","Lead","FOREST CITY","MO",""
"1313211021187","2013","Lead","WARRENSBURG","MO",""
"1390045851007","1990","Lead","SAINT CHARLES","MO",""
"1316215351735","2016","Lead","SAINT JOSEPH","MO",""
"1307205175755","2007","Lead","NEVADA","MO",""
"1314211925641","2014","Lead","SAINT JOSEPH","MO",""
"1311208987519","2011","Lead","SAINT CHARLES","MO",""
"1312209957721","2012","Lead","SAINT CHARLES","MO",""
"1388025601028","1988","Lead","FENTON","MO","180"
"1396100276435","1996","Lead","SAINT LOUIS","MO",""
"1302200027643","2002","Lead","WASHINGTON","MO",""
"1318220139570","2018","Lead","BOSWORTH","MO",""
"1316215610116","2016","Lead","HIGH RIDGE","MO",""
"1315213886548","2015","Lead","LEBANON","MO",""
"1305203998238","2005","Lead","WASHINGTON","MO",""
"1314214892679","2014","Lead","SAINT LOUIS","MO",""
"1308207130081","2008","Lead","SAINT PETERS","MO",""
"1317216078182","2017","Lead","CAPE GIRARDEAU","MO",""
"1317216321834","2017","Lead","SAINT LOUIS","MO",""
"1316215797263","2016","Lead","SAINT LOUIS","MO",""
"1312209964838","2012","Lead","SEDALIA","MO",".68"
"1304202880187","2004","Lead","SAINT LOUIS","MO",""
"1392060007919","1992","Lead","CUBA","MO",""
"1313211496498","2013","Lead","FARMINGTON","MO",""
"1314212907721","2014","Lead","MARYVILLE","MO",""
"1396100363581","1996","Lead","SAINT LOUIS","MO",""
"1314212680603","2014","Lead","SAINT LOUIS","MO",""
"1300145110918","2000","Lead","SAINT LOUIS","MO",""
"1391055101897","1991","Lead","OLIVETTE","MO",""
"1392065383539","1992","Lead","NORTH KANSAS CITY","MO",""
"1314212316412","2014","Lead","SAINT CHARLES","MO",""
"1316215663408","2016","Lead","INDEPENDENCE","MO",""
"1321219465248","2021","Lead","JOPLIN","MO",""
"1320219172842","2020","Lead","JEFFERSON CITY","MO",".89"
"1320218923771","2020","Lead","KANSAS CITY","MO",""
"1310209882885","2010","Lead","SAINT CLAIR","MO","0"
"1392065092102","1992","Lead","BONNE TERRE","MO",""
"1311209659628","2011","Lead","MARSTON","MO",""
"1395090371624","1995","Lead","CENTRALIA","MO",""
"1319217975960","2019","Lead","NEVADA","MO",""
"1310208667838","2010","Lead","SPRINGFIELD","MO",""
"1303202072791","2003","Lead","SAINT PETERS","MO",""
"1397110246891","1997","Lead","SAINT CHARLES","MO",""
"1307205986375","2007","Lead","WASHINGTON","MO",""
"1305203302575","2005","Lead","JEFFERSON CITY","MO",""
"1313211726017","2013","Lead","CENTRALIA","MO",""
"1310208166847","2010","Lead","TROY","MO",""
"1389035771753","1989","Lead","UNION","MO",""
"1318217402674","2018","Lead","KINGSVILLE","MO",""
"1309207441989","2009","Lead","HIGH HILL","MO",""
"1312210013734","2012","Lead","KANSAS CITY","MO",""
"1399130212083","1999","Lead","SAINT LOUIS","MO",""
"1318216914198","2018","Lead","NEVADA","MO",""
"1390045358013","1990","Lead","HANNIBAL","MO",""
"1310208423386","2010","Lead","SLATER","MO",""
"1321219767439","2021","Lead","FREDERICKTOWN","MO","72.1"
"1389035575327","1989","Lead","NORTH KANSAS CITY","MO",""
"1301150737904","2001","Lead","SPRINGFIELD","MO",""
"1315213929781","2015","Lead","WASHINGTON","MO",""
"1305203320686","2005","Lead","SPRINGFIELD","MO",""
"1310208820617","2010","Lead","NEVADA","MO",""
"1321219999315","2021","Lead","SOUTH WEST CITY","MO","0"
"1389035269125","1989","Lead","INDEPENDENCE","MO",""
"1306204315143","2006","Lead","ARNOLD","MO",""
"1316215698984","2016","Lead","CUBA","MO","0"
"1312210586943","2012","Lead","SAINT LOUIS","MO",""
"1300140003322","2000","Lead","SAINT LOUIS","MO",""
"1318218611022","2018","Lead","KANSAS CITY","MO",""
"1313211269980","2013","Lead","O FALLON","MO",""
"1387010875134","1987","Lead","CENTRALIA","MO",""
"1319220346035","2019","Lead","KANSAS CITY","MO",""
"1392060150190","1992","Lead","KANSAS CITY","MO",""
"1302200011183","2002","Lead","HIGH RIDGE","MO",""
"1306204986158","2006","Lead","JACKSON","MO",""
"1311209175037","2011","Lead","KANSAS CITY","MO",""
"1315214316782","2015","Lead","KANSAS CITY","MO",""
"1303201072220","2003","Lead","ARNOLD","MO",""
"1308206438400","2008","Lead","JACKSON","MO",""
"1301150576647","2001","Lead","MARSTON","MO",""
"1305203310228","2005","Lead","SAINT LOUIS","MO",""
"1314212844979","2014","Lead","PALMYRA","MO","0"
"1311209466426","2011","Lead","MONETT","MO",".01"
"1301150621086","2001","Lead","EXCELSIOR SPRINGS","MO",""
"1309207951373","2009","Lead","O FALLON","MO",""
"1316215611955","2016","Lead","ARNOLD","MO",""
"1318216707606","2018","Lead","JOPLIN","MO",""
"1388025584107","1988","Lead","SPRINGFIELD","MO",""
"1389035383470","1989","Lead","BERKELEY","MO",""
"1313211021175","2013","Lead","KINGSVILLE","MO",""
"1304202985356","2004","Lead","NEOSHO","MO",""
"1304202915031","2004","Lead","SAINT LOUIS","MO",""
"1307206159446","2007","Lead","GLASGOW","MO",""
"1302200880692","2002","Lead","LOUISIANA","MO","0"
"1312210619730","2012","Lead","MARSTON","MO",""
"1309207942412","2009","Lead","SAINT LOUIS","MO",""
"1302200140212","2002","Lead","PEVELY","MO",""
"1315214185718","2015","Lead","FARMINGTON","MO",""
"1307205174307","2007","Lead","CAMDENTON","MO","0"
"1310208479550","2010","Lead","SPRINGFIELD","MO",""
"1395090177407","1995","Lead","JEFFERSON CITY","MO",""
"1310214478620","2010","Lead","INDEPENDENCE","MO",""
"1392065029391","1992","Lead","SAINT LOUIS","MO",""
"1302200193845","2002","Lead","SAINT LOUIS","MO",""
"1312210442618","2012","Lead","EARTH CITY","MO",""
