WESID,Q_RESP,Q1A,Q1B,Q1C,Q1D,Q1E,Q1F,Q1G,Q1H,Q1I,Q1J,Q1K,Q1L,Q1M,Q1N,Q1O,Q1P,Q1Q,Q1R,Q1S,Q1T,Q1U,Q2A,Q2B,Q2C,Q2D,Q2E,Q3,Q4A,Q4B,Q4C,Q4D,Q4E,Q4F,Q4G,Q4H,Q5A,Q5B,Q5C,Q5D,Q6,Q7A,Q7B,Q7C,Q8A,Q8B,Q8C,Q8D,Q8E,Q8ECODE,Q9A,Q10,Q11A,Q11B,Q12A,Q12B,Q12C,Q12D,Q12E,Q12F,Q12G,Q12H,Q12I,Q12J,Q12K,Q12L,Q12M,Q12N,Q13,Q14A1,Q14A2,Q14A3,Q14B1,Q14B2,Q14B3,Q14C1,Q14C2,Q14C3,Q14D1,Q14D2,Q14D3,Q15,Q15A,Q15B,Q16A1,Q16A2,Q16A3,Q16A4,Q16B1,Q16B2,Q16B3,Q16B4,Q16C1_1,Q16C1_2,Q16C1_3,Q16C1_4,Q16C2_1,Q16C2_2,Q16C2_3,Q16C2_4,Q16D1_1,Q16D1_2,Q16D1_3,Q16D1_4,Q16D2_1,Q16D2_2,Q16D2_3,Q16D2_4,Q16E1_1,Q16E1_2,Q16E1_3,Q16E1_4,Q16E2_1,Q16E2_2,Q16E2_3,Q16E2_4,Q16F1,Q16F2,Q16F3,Q16F4,Q16G1,Q16G2,Q16G3,Q16G4,Q16H1,Q16H2,Q16H3,Q16H4,Q16I1,Q16I2,Q16I4,Q16J1,Q16J2,Q16J4,Q16K1,Q16K2,Q16K3,Q16K4,Q16L1,Q16L2,Q16L3,Q16L4,Q18,Q19A,Q19B,Q19C,Q19D,Q19E,Q19F,Q19G,Q20A,Q20B,Q20C,Q20D,Q20E1,Q20E2,Q20F1,Q20F2,Q20G,Q20H1,Q20H2,Q20I,Q20J,Q20K,Q20L,Q20M,Q20N,Q21A1,Q21A2,Q21A3,Q21A4,Q21A5,Q21B1,Q21B2,Q21B3,Q21B4,Q21B5,Q21C1,Q21C2,Q21C3,Q21C4,Q21C5,Q21D1,Q21D2,Q21D3,Q21D4,Q21D5,Q21E1,Q21E2,Q21E3,Q21F1,Q21F2,Q21F3,Q21G1,Q21G2,Q21G3,Q21H1,Q21H2,Q21H3,Q21I1,Q21I2,Q21I3,Q21J1,Q21J2,Q21J3,Q21K1,Q21K2,Q21K3,ENROLL,PCTFREE,Q24B,Q24C,PCTMALE,Q24E,Q24F,Q24G,Q25,CATG_FTE,Q26B1,Q26B2,Q26C1,Q26C2,Q27,Q28,Q29,Q30A,Q30B,Q31A1,Q31A2,Q31B1,Q31B2,Q31C1,Q31C2,ACCESS,MONITOR,PARINV,CRISPLAN,STUCOMP,SCHLCOMP,REGPOL,LIMITS,NUMDEATH,INCIDENT,POLINC,HATECRIM,GANGINC,VIOLINC,POLINCV,HATECRMV,GANGINCV,SERVIOL,SERPOLV,SERHATEV,SERGANGV,SRATIO,Q21A6P,Q21B6P,Q21C6P,Q21D6P,Q21E6P,Q21F6P,Q21G6P,Q21H6P,Q21I6P,Q21J6P,Q21K6P,Q21A6,Q21B6,Q21C6,Q21D6,PCTMINOR,LEVEL,URBAN,FWT,FWT1,FWT2,FWT3,FWT4,FWT5,FWT6,FWT7,FWT8,FWT9,FWT10,FWT11,FWT12,FWT13,FWT14,FWT15,FWT16,FWT17,FWT18,FWT19,FWT20,FWT21,FWT22,FWT23,FWT24,FWT25,FWT26,FWT27,FWT28,FWT29,FWT30,FWT31,FWT32,FWT33,FWT34,FWT35,FWT36,FWT37,FWT38,FWT39,FWT40,FWT41,FWT42,FWT43,FWT44,FWT45,FWT46,FWT47,FWT48,FWT49,FWT50,STR_SOCS,Q2A_FL,Q2B_FL,Q2D_FL,Q2E_FL,Q9A_FL,Q10_FL,Q13_FL,Q14A1_FL,Q14A2_FL,Q14A3_FL,Q14B1_FL,Q14B2_FL,Q14B3_FL,Q14C1_FL,Q14C2_FL,Q14C3_FL,Q14D1_FL,Q14D2_FL,Q14D3_FL,Q15_FL,Q15A_FL,Q15B_FL,Q16B2_FL,Q16B3_FL,Q16B4_FL,Q16C12FL,Q16C13FL,Q16C14FL,Q16C22FL,Q16C23FL,Q16C24FL,Q16D12FL,Q16D13FL,Q16D14FL,Q16D22FL,Q16D23FL,Q16D24FL,Q16E12FL,Q16E13FL,Q16E14FL,Q16E22FL,Q16E23FL,Q16E24FL,Q16F2_FL,Q16F3_FL,Q16F4_FL,Q16G2_FL,Q16G3_FL,Q16G4_FL,Q16H2_FL,Q16H3_FL,Q16H4_FL,Q16I2_FL,Q16I4_FL,Q16J2_FL,Q16J4_FL,Q16K2_FL,Q16K3_FL,Q16K4_FL,Q16L2_FL,Q16L3_FL,Q16L4_FL,Q19A_FL,Q19B_FL,Q19C_FL,Q19D_FL,Q19E_FL,Q19F_FL,Q19G_FL,Q21A1_FL,Q21A2_FL,Q21A3_FL,Q21A4_FL,Q21A5_FL,Q21B1_FL,Q21B2_FL,Q21B3_FL,Q21B4_FL,Q21B5_FL,Q21C1_FL,Q21C2_FL,Q21C3_FL,Q21C4_FL,Q21C5_FL,Q21D1_FL,Q21D2_FL,Q21D3_FL,Q21D4_FL,Q21D5_FL,Q21E1_FL,Q21E2_FL,Q21E3_FL,Q21F1_FL,Q21F2_FL,Q21F3_FL,Q21G1_FL,Q21G2_FL,Q21G3_FL,Q21H1_FL,Q21H2_FL,Q21H3_FL,Q21I1_FL,Q21I2_FL,Q21I3_FL,Q21J1_FL,Q21J2_FL,Q21J3_FL,Q21K1_FL,Q21K2_FL,Q21K3_FL,Q24B_FL,Q24C_FL,Q24E_FL,Q24F_FL,Q24G_FL,Q26A1_FL,Q26A2_FL,Q29_FL,REGPOLFL,Q8ETEXT
1001,1,1,1,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,2,2,2,2,2,2,2,2,-1,-1,2,-1,-1,3,1,3,3,3,3,3,3,2,3,3,1,1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,5,5,5,5,5,2,4,4,2,3,2,4,4,3,3,4,3,3,3,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,10,3,2,0,30,70,4,-9,1,-9,3,-9,3,1,5,60,25,8,17,5,23,5,1,3,1,1,4,7,4,1,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,71.1578072,69.2700238,73.4955847,71.6017161,72.510319,71.2122808,72.2990482,71.7801168,72.1393503,72.7980911,72.8098771,72.9965791,73.5588272,72.1833398,73.3717793,73.2265479,71.9115208,74.1559399,74.3033205,73.2011989,74.375133,72.4488942,69.8309188,72.3410461,74.4344188,72.2636385,71.0253303,0,73.5186775,72.1426642,72.8979555,75.3480158,71.9825032,73.5526445,72.4910836,73.5966752,73.364138,72.6757972,71.4963902,70.880571,72.9374349,73.3516172,73.67361,73.2040782,72.0898859,71.0814793,72.6881484,72.8650112,71.6333097,70.9203639,73.6216076,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1002,1,1,1,2,2,2,2,1,1,2,2,2,2,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,2,2,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2,1,2,2,-1,2,1,65,2,3,1,3,2,2,3,2,3,2,2,3,3,3,3,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,3,3,0,0,2,2,0,5,5,0,0,0,0,0,1,1,0,0,1,4,2,1,4,1,4,4,3,4,3,3,4,3,4,3,2,4,3,3,3,3,3,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,4,1,1,7,1,1,40,60,4,3,2,0,5,0,3,1,2,2,10,7,22,5,26,7,31,3,3,1,5,2,3,2,1,-1,38,23,0,0,25,10,0,0,0,0,0,0,2,0,1,0,3,2,5,0,0,0,0,11,0,1,0,3,3,3,3,13.6278674,14.0188945,14.093132,13.7802143,13.9088587,13.9893106,13.9835335,14.3613388,13.8839334,13.8270108,13.7021182,13.8160218,13.8080213,13.6255936,13.798675,13.5674674,13.9392951,13.806947,13.8812219,13.6416724,13.844538,0,13.4879252,13.8780385,13.9739106,13.7748747,13.9643142,13.7856251,13.9048055,14.1565186,14.0525437,14.3917228,13.967826,14.0170532,14.0238111,13.8106991,14.1483846,13.7423515,13.9820556,13.844599,14.0116435,13.7094568,14.0504517,13.9126486,13.9676095,13.5889175,14.0662663,14.0690567,14.1171722,14.0678672,13.879486,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1003,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,2,1,2,1,-9,-1,0,1,4,6,2,1,3,2,2,3,3,3,1,2,3,1,3,3,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,3,4,4,5,5,2,3,2,4,2,2,4,4,3,3,3,3,3,3,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,0,0,0,0,1,0,0,1,11,2,3,2,7,3,10,50,75,3,1,1,2,2,1,3,1,4,77,50,8,4,5,17,7,12,2,1,4,5,7,5,2,3,-1,20,0,0,0,20,0,0,0,0,0,0,0,2,0,0,0,0,0,0,8,3,0,1,12,0,0,0,0,2,1,4,111.4055121,118.5337533,114.8311813,116.5402242,113.949432,112.2241585,115.0615995,112.7587552,110.638223,114.2742498,108.2049143,111.7584925,116.3986599,114.1101379,113.6395987,113.3613482,111.7898675,111.5465012,112.306227,110.884944,113.3593612,112.3924953,118.5870181,108.7804029,112.6421519,110.1339279,116.1532135,113.6892868,112.0413266,112.5517825,118.0588077,115.4503391,114.9709504,112.5609915,114.9407144,117.6238407,115.1259643,0,113.1033731,114.222391,117.9652216,111.9376891,112.9678054,112.6679498,113.5241793,111.9622898,112.3594571,114.4392505,116.7371348,114.4391206,115.0319665,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,
1004,1,1,1,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,1,1,2,2,2,1,1,1,1,1,1,3,2,-1,-1,3,3,3,3,2,3,3,3,3,2,3,3,3,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,10,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,5,4,1,4,1,4,5,3,3,3,3,4,3,4,3,3,3,3,3,4,3,3,3,3,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,2,0,5,3,3,0,15,1,20,80,80,10,3,1,3,5,3,2,1,5,20,20,8,16,5,26,7,19,2,4,1,5,6,4,2,0,-1,33,7,0,0,30,5,0,0,0,0,0,0,1,0,2,1,0,0,2,0,2,0,0,7,0,2,1,0,4,2,1,14.209241,0,14.4813598,14.7932197,14.1349605,14.4438527,14.2728415,14.1836332,14.4701256,14.3963793,14.6514002,14.5103173,14.6322718,14.4393763,14.5051468,14.3148678,14.4408329,14.5709152,14.087076,14.5133953,14.705167,14.4443038,14.5875257,14.6008428,14.6055499,14.7025301,14.5339668,14.6021982,14.5936005,14.5368059,14.6653566,13.8140889,14.5777174,14.5727822,14.7172303,14.436444,14.5754675,14.4615675,14.2441828,14.3003049,14.4422933,14.2503902,14.6251178,14.784599,14.5876988,14.72518,14.4146415,14.67165,14.7572648,14.7150267,14.7980964,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,Gang resistance classes                                                                                                                                                                                 
1005,1,1,1,1,2,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1,1,1,2,2,-1,32,1,3,12,2,2,3,3,3,3,3,3,3,3,3,2,3,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,5,5,0,2,30,0,0,5,0,0,0,0,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,5,0,0,0,10,0,0,0,0,5,2,4,4,4,4,5,3,3,4,4,3,-9,2,3,3,3,3,3,4,3,3,3,2,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,35,0,0,5,0,0,15,0,0,100,8,0,157,3,3,0,20,2,15,60,50,8,2,2,3,8,0,1,1,1,20,8,8,16,5,26,7,19,3,4,2,5,7,6,2,0,-1,65,15,0,7,45,10,0,7,5,5,0,2,2,0,0,5,5,0,0,35,5,15,100,165,0,0,5,5,4,2,1,14.209241,14.2001288,14.4813598,14.7932197,14.1349605,14.4438527,14.2728415,14.1836332,14.4701256,14.3963793,14.6514002,14.5103173,14.6322718,14.4393763,14.5051468,14.3148678,14.4408329,14.5709152,14.087076,14.5133953,14.705167,14.4443038,14.5875257,14.6008428,14.6055499,14.7025301,14.5339668,14.6021982,14.5936005,14.5368059,14.6653566,13.8140889,14.5777174,14.5727822,14.7172303,14.436444,14.5754675,14.4615675,14.2441828,14.3003049,14.4422933,14.2503902,14.6251178,14.784599,14.5876988,14.72518,14.4146415,14.67165,14.7572648,14.7150267,0,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1006,1,1,1,2,2,2,1,2,2,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,-1,15,2,-1,-1,2,1,2,2,1,3,3,2,3,3,3,3,3,3,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,8,0,0,2,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,5,3,0,0,0,0,0,0,0,0,1,1,0,0,3,2,0,0,0,5,2,2,3,2,5,5,3,3,4,4,3,3,3,3,3,3,3,3,4,3,3,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,50,5,3,26,5,4,5,3,1,0,6,0,1,1,5,41,36,8,15,5,25,7,10,3,4,4,5,8,4,2,2,-1,43,17,0,0,33,10,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,4,2,1,19.7961532,19.5940159,19.9296792,20.8493587,19.6683082,19.8694736,20.1147699,19.6306282,20.0351417,19.8925407,20.5890621,20.7513428,20.2802369,20.4152846,20.7681747,20.2039436,20.4071638,20.2800378,19.9193581,20.0177243,20.7190886,0,20.192128,20.3420945,20.1444857,20.2048788,20.4621336,20.4547387,20.2693559,20.2430395,20.3383591,19.2050166,20.0554545,20.3126789,19.9740228,19.9801179,20.1809001,20.2673429,19.8607553,20.1713715,20.078289,19.8570537,20.549587,19.8455195,20.4654151,20.4189015,20.022466,20.7092039,20.489129,20.1515648,20.7159442,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1007,2,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,-9,2,-1,35,1,2,4,3,3,2,3,2,3,3,3,3,3,3,3,3,3,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,4,4,0,3,3,0,1,1,0,0,1,1,0,0,0,4,4,4,4,4,4,5,3,3,4,-9,3,3,-9,3,3,3,4,3,4,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,11,3,4,15,7,4,1,0,35,1,2,70,95,4,3,3,0,9,1,3,3,5,11,6,8,17,5,26,8,4,5,6,4,5,8,4,2,0,-1,33,9,0,1,19,0,0,1,1,0,0,0,3,0,0,2,2,4,4,0,0,0,14,26,0,0,2,2,4,3,1,12.0636644,12.2106791,12.5622954,12.5532294,12.308318,12.2027882,12.2192387,12.0179978,12.5179827,12.4110662,12.3554537,12.2370733,12.2098424,12.1331144,12.218403,12.2602708,12.2549961,12.1492973,12.3496336,12.1332997,12.4307064,12.3129842,12.2329923,12.4985469,12.2028343,12.7461739,12.2664305,12.3005765,12.5225207,12.8200181,12.0469788,12.4821771,12.2505692,12.2270155,0,12.4079241,12.2215303,12.1690145,12.1427401,12.3799357,12.2595191,12.2772469,12.1669685,12.2323559,12.2260398,12.5671415,12.3042937,12.1623789,12.094706,12.2156311,12.9883709,314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1010,1,1,1,1,2,2,2,1,2,1,2,2,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,-1,5,1,60,2,2,2,2,3,2,3,2,3,2,2,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,2,2,0,0,1,1,0,0,0,4,3,4,5,2,4,5,2,3,1,2,3,2,3,3,3,3,2,3,3,3,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,3,3,2,0,9,2,12,24,40,8,3,1,1,4,1,3,1,1,38,16,8,16,5,25,7,12,4,1,4,5,8,6,2,0,-1,19,10,0,0,8,4,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,2,3,0,0,0,3,2,4,4,20.0074243,20.2706532,20.8142881,20.6201437,19.9184509,19.776181,20.4141144,19.8028886,19.976314,20.6913641,20.4540345,20.4068934,20.2707621,20.76684,20.1374306,20.3117737,20.649129,20.3006076,20.5960071,20.6298037,20.3566215,20.6246735,20.9640429,20.4532905,20.3053754,20.5469702,20.3717241,20.4942806,20.3298311,20.2592336,19.904297,20.3244834,20.4899028,19.9602613,19.3094681,20.5119545,20.1624131,20.6887772,0,20.615446,20.704299,20.6085285,20.3106388,20.514151,21.5273573,20.6905731,20.9326733,20.6921744,20.6275865,19.9931768,19.8887586,443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1011,1,1,1,1,2,2,2,1,1,1,2,2,1,1,1,1,2,2,2,2,2,1,2,1,1,1,2,1,1,2,1,1,1,2,2,1,1,1,1,2,2,2,2,2,2,2,1,2,2,-1,2,2,-1,-1,2,1,3,3,2,3,2,3,1,2,3,1,1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,4,4,4,5,4,5,5,3,4,4,2,3,3,4,3,3,4,4,3,3,3,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2,0,0,0,0,0,0,0,0,10,3,2,2,18,3,2,20,20,6,2,1,0,3,0,3,1,1,25,32,8,10,8,9,7,7,4,2,1,3,5,3,2,4,-1,11,6,0,0,8,4,0,0,0,0,0,0,2,0,0,0,0,0,0,8,2,0,0,10,0,0,0,0,2,4,4,20.0074243,20.2706532,20.8142881,20.6201437,19.9184509,19.776181,20.4141144,19.8028886,19.976314,20.6913641,20.4540345,20.4068934,20.2707621,20.76684,20.1374306,20.3117737,20.649129,20.3006076,20.5960071,20.6298037,20.3566215,20.6246735,20.9640429,20.4532905,20.3053754,20.5469702,20.3717241,20.4942806,20.3298311,20.2592336,19.904297,20.3244834,20.4899028,19.9602613,19.3094681,20.5119545,20.1624131,20.6887772,20.9879536,20.615446,0,20.6085285,20.3106388,20.514151,21.5273573,20.6905731,20.9326733,20.6921744,20.6275865,19.9931768,19.8887586,443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1012,2,1,2,2,2,2,2,2,1,2,2,2,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,2,2,1,2,2,2,2,1,2,2,-1,0.3,2,-1,-1,3,3,3,3,2,3,3,3,3,3,3,1,1,3,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,4,4,4,4,5,3,3,4,4,3,4,4,4,3,3,4,3,3,3,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10,3,2,0,12,2,0,40,80,4,2,2,0,8,0,3,1,0,40,40,8,4,5,23,7,19,1,2,2,5,-1,0,2,2,-1,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,2,4,3,16.2985798,16.7662382,16.8550243,16.4807828,16.6346382,16.7308566,16.7239474,17.1757928,16.6048283,16.5367503,16.3873819,16.5236077,16.5140393,16.2958605,16.5028614,16.226343,16.6710393,16.5127545,16.6015853,16.3150903,16.5577124,16.4917246,16.1312125,16.5977781,16.7124387,16.4743968,16.7009616,16.487254,16.6297908,16.9308331,16.8064818,17.2121314,16.7051616,16.764036,16.7721184,16.5172418,16.9211051,16.4354998,16.7221799,16.5577852,16.7575663,16.3961587,16.8039799,16.6391709,16.7049026,16.2519967,0,16.8262309,16.8837758,16.8248083,16.5995092,433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
